geometry,runtime(min),step,finished time
,0,0,NaT
,0,0,NaT
,0,0,NaT
,0,0,NaT
domain_W8000_GL400_FC30000,70.8802832166667,3,03-Nov-2022 22:47:00
domain_W11000_GL400_FC30000,130.28658205,3,03-Nov-2022 23:46:24
,0,0,NaT
,0,0,NaT
,0,0,NaT
,0,0,NaT
domain_W8000_GL400_FC60000,204.554948483333,3,04-Nov-2022 01:00:40
domain_W11000_GL400_FC60000,258.910387783333,3,04-Nov-2022 01:55:02
,0,0,NaT
,0,0,NaT
,0,0,NaT
,0,0,NaT
domain_W8000_GL400_FC120000,311.534608966667,3,04-Nov-2022 02:47:39
domain_W11000_GL400_FC120000,368.0278518,3,04-Nov-2022 03:44:09
