geometry,runtime(min),step,finished time
domain_W5000_GL0_FC30000,29.94918537985,10,07-Jan-2023 14:46:34
,0,0,NaT
,0,0,NaT
,0,0,NaT
,0,0,NaT
,0,0,NaT
,0,0,NaT
,0,0,NaT
,0,0,NaT
,0,0,NaT
,0,0,NaT
,0,0,NaT
,0,0,NaT
,0,0,NaT
,0,0,NaT
,0,0,NaT
,0,0,NaT
,0,0,NaT
