geometry,runtime(min),step,finished time
domain_W5000_GL0_FC30000,91.3418096666667,3,03-Nov-2022 23:07:16
domain_W8000_GL0_FC30000,167.635532116667,3,04-Nov-2022 00:23:34
,0,0,NaT
,0,0,NaT
,0,0,NaT
,0,0,NaT
domain_W5000_GL0_FC60000,244.8552795,3,04-Nov-2022 01:40:47
domain_W8000_GL0_FC60000,342.450906883333,3,04-Nov-2022 03:18:22
,0,0,NaT
,0,0,NaT
,0,0,NaT
,0,0,NaT
domain_W5000_GL0_FC120000,389.5138651,3,04-Nov-2022 04:05:26
domain_W8000_GL0_FC120000,436.05908935,3,04-Nov-2022 04:51:59
,0,0,NaT
,0,0,NaT
,0,0,NaT
,0,0,NaT
