Names,max_dH,max_dHdt
model_W5000_GL0_FC30000,4.86853657619958,4.91088469909765
model_W5000_GL0_FC60000,5.30599329224729,5.3834902110123
model_W5000_GL0_FC120000,5.57885489690512,5.01856880924044
model_W8000_GL0_FC30000,5.69289772317314,5.48219258841607
model_W8000_GL0_FC60000,5.82050494184173,5.23558041988448
model_W8000_GL0_FC120000,5.87858475656772,4.4430136143774
model_W11000_GL0_FC30000,6.28795383264493,5.92945964622932
model_W11000_GL0_FC60000,5.9808610896178,4.9328449068459
model_W11000_GL0_FC120000,5.862060789346,3.95788835710325
