vel,h,tau_b
2585.33713641842,110.709870959459,15730.5531416656
1530.15327225008,342.035711154537,7508.07553633639
1163.53382140679,117.403185215823,34501.4207542492
813.777954292307,326.979694160558,15924.8357550288
570.677626794319,125.486431391193,82099.4628138576
525.706171683501,301.607397508663,40992.2593578037
2448.49369444569,131.231958145189,13298.9161982234
1477.7288801824,294.487986602157,7536.73877954671
1050.38617833532,132.613466712755,25052.5761048079
673.585193352443,271.586984009781,13996.0535264627
480.991045531548,137.592326462576,51071.5157481207
399.150356695878,241.457851272821,33181.4620436204
2102.10674747098,134.039050408607,10380.0918254808
1352.27216559956,253.086511357237,6677.51210483125
872.472176562582,132.535964003253,17150.8897750354
568.438202436191,224.270460224792,11174.3045882565
415.903609856613,134.934527994362,36285.6695118555
332.065322384568,193.719129897536,25949.0536138204
