vel,h,tau_b
4897.59569784737,389.108224354623,57185.8112418801
2332.80619779902,572.394924077969,41638.4410086877
2702.12249515235,451.225657846106,83695.6501280632
1245.84090444945,599.228954569401,63246.7697687028
1618.64854839579,543.970460593274,127153.411248246
806.400675599609,632.688620835579,101137.094238695
4162.44646546675,330.81801666983,30393.6835269348
2357.44890590516,519.227874328955,24671.958547154
1963.17218405928,374.004204146294,45397.2039648175
1095.87086713632,528.411396449327,38029.1067598975
1098.43268593912,457.771476284919,85092.3580322526
649.874991557265,541.772721886899,70936.4220331652
3764.73087599032,305.724397779935,25689.9839785259
2348.98550815311,479.738104507363,20602.1413990199
1587.93129606441,337.292507505501,38672.7031299696
1003.68035669646,478.833956798271,30794.6390297188
844.210740270004,411.514472435604,67809.9917953776
586.67463432,470.74782999523,64558.9061791023
